"slug","tipo","legislatura","url-json","url-arnet-json","url-xml","url-arnet-xml"
"atividade-deputado-12","Atividade dos Deputados",12,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47556c4d6a426b62334d6c4d6a42455a5842316447466b62334d7657456c4a4a5449775447566e61584e7359585231636d457651585270646d6c6b5957526c52475677645852685a47395953556c66616e4e76626935306548513d&fich=AtividadeDeputadoXII_json.txt&Inline=true",,,
"atividade-deputado-13","Atividade dos Deputados",13,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47556c4d6a426b62334d6c4d6a42455a5842316447466b62334d7657456c4a535355794d45786c5a326c7a6247463064584a684c30463061585a705a47466b5a55526c634856305957527657456c4a53563971633239754c6e523464413d3d&fich=AtividadeDeputadoXIII_json.txt&Inline=true",,,
"cooperacao-06","Cooperação Parlamentar",6,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e527663793944623239775a584a68773666446f32386c4d6a425159584a735957316c626e526863693957535355794d45786c5a326c7a6247463064584a684c304e766233426c636d466a5957395753563971633239754c6e523464413d3d&fich=CooperacaoVI_json.txt&Inline=true",,,
"cooperacao-07","Cooperação Parlamentar",7,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e527663793944623239775a584a68773666446f32386c4d6a425159584a735957316c626e52686369395753556b6c4d6a424d5a576470633278686448567959533944623239775a584a6859324676566b6c4a5832707a6232347564486830&fich=CooperacaoVII_json.txt&Inline=true",,,
"cooperacao-08","Cooperação Parlamentar",8,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e527663793944623239775a584a68773666446f32386c4d6a425159584a735957316c626e52686369395753556c4a4a5449775447566e61584e7359585231636d4576513239766347567959574e6862315a4a53556c66616e4e76626935306548513d&fich=CooperacaoVIII_json.txt&Inline=true",,,
"cooperacao-09","Cooperação Parlamentar",9,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e527663793944623239775a584a68773666446f32386c4d6a425159584a735957316c626e52686369394a574355794d45786c5a326c7a6247463064584a684c304e766233426c636d466a5957394a57463971633239754c6e523464413d3d&fich=CooperacaoIX_json.txt&Inline=true",,,
"cooperacao-10","Cooperação Parlamentar",10,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e527663793944623239775a584a68773666446f32386c4d6a425159584a735957316c626e5268636939594a5449775447566e61584e7359585231636d4576513239766347567959574e6862316866616e4e76626935306548513d&fich=CooperacaoX_json.txt&Inline=true",,,
"cooperacao-11","Cooperação Parlamentar",11,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e527663793944623239775a584a68773666446f32386c4d6a425159584a735957316c626e526863693959535355794d45786c5a326c7a6247463064584a684c304e766233426c636d466a5957395953563971633239754c6e523464413d3d&fich=CooperacaoXI_json.txt&Inline=true",,,
"cooperacao-12","Cooperação Parlamentar",12,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e527663793944623239775a584a68773666446f32386c4d6a425159584a735957316c626e52686369395953556b6c4d6a424d5a576470633278686448567959533944623239775a584a685932467657456c4a5832707a6232347564486830&fich=CooperacaoXII_json.txt&Inline=true",,,
"cooperacao-13","Cooperação Parlamentar",13,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e527663793944623239775a584a68773666446f32386c4d6a425159584a735957316c626e52686369395953556c4a4a5449775447566e61584e7359585231636d4576513239766347567959574e686231684a53556c66616e4e76626935306548513d&fich=CooperacaoXIII_json.txt&Inline=true",,,
